date,home_team,away_team,b365_h,b365_x,b365_a,b365_ch,b365_cx,b365_ca
2022-08-13,Milan,Udinese,1.44,4.75,7.0,1.44,4.75,6.5
2022-08-13,Sampdoria,Atalanta,4.33,3.9,1.75,5.25,4.0,1.61
2022-08-13,Lecce,Inter,10.0,5.75,1.28,8.0,5.25,1.36
2022-08-13,Monza,Torino,2.6,3.3,2.75,2.55,3.1,2.9
2022-08-14,Fiorentina,Cremonese,1.36,5.0,8.5,1.6,4.2,5.25
2022-08-14,Lazio,Bologna,1.57,4.33,5.75,1.7,4.0,4.75
2022-08-14,Salernitana,Roma,6.5,4.75,1.44,6.0,4.75,1.5
2022-08-14,Spezia,Empoli,2.45,3.3,2.9,2.4,3.4,2.87
2022-08-15,Verona,Napoli,3.5,3.5,2.05,3.6,3.6,2.0
2022-08-15,Juventus,Sassuolo,1.44,4.75,7.0,1.45,4.75,6.5
2022-08-20,Torino,Lazio,3.0,3.5,2.3,2.75,3.4,2.5
2022-08-20,Udinese,Salernitana,1.75,3.8,4.5,1.61,4.0,5.0
2022-08-20,Inter,Spezia,1.16,8.0,15.0,1.12,9.0,19.0
2022-08-20,Sassuolo,Lecce,1.75,4.0,4.2,1.8,4.0,3.8
2022-08-21,Empoli,Fiorentina,3.75,3.8,1.9,3.2,3.6,2.15
2022-08-21,Napoli,Monza,1.33,5.5,8.0,1.3,6.0,9.0
2022-08-21,Atalanta,Milan,2.75,3.5,2.5,2.8,3.5,2.4
2022-08-21,Bologna,Verona,2.15,3.5,3.3,2.05,3.5,3.6
2022-08-22,Roma,Cremonese,1.25,6.5,11.0,1.2,6.5,11.0
2022-08-22,Sampdoria,Juventus,5.75,4.0,1.6,5.0,3.8,1.7
2022-08-26,Monza,Udinese,3.1,3.4,2.3,2.9,3.5,2.3
2022-08-26,Lazio,Inter,4.0,3.8,1.83,3.8,3.8,1.85
2022-08-27,Cremonese,Torino,3.2,3.4,2.25,3.6,3.5,2.05
2022-08-27,Juventus,Roma,2.3,3.3,3.1,2.45,3.2,3.0
2022-08-27,Milan,Bologna,1.33,5.5,8.5,1.33,5.5,9.0
2022-08-27,Spezia,Sassuolo,3.0,3.6,2.25,3.1,3.5,2.25
2022-08-28,Salernitana,Sampdoria,2.45,3.2,3.0,2.4,3.1,3.1
2022-08-28,Verona,Atalanta,4.2,4.0,1.75,3.75,4.0,1.9
2022-08-28,Fiorentina,Napoli,3.25,3.6,2.15,3.2,3.5,2.2
2022-08-28,Lecce,Empoli,2.3,3.5,3.0,2.2,3.4,3.2
2022-08-30,Sassuolo,Milan,5.25,4.33,1.57,4.75,4.2,1.61
2022-08-30,Inter,Cremonese,1.14,8.0,21.0,1.16,7.0,17.0
2022-08-30,Roma,Monza,1.3,5.5,10.0,1.33,5.25,9.5
2022-08-31,Empoli,Verona,2.62,3.3,2.7,2.7,3.3,2.6
2022-08-31,Sampdoria,Lazio,4.2,3.6,1.85,4.0,3.75,1.85
2022-08-31,Udinese,Fiorentina,2.7,3.5,2.5,2.3,3.4,3.0
2022-08-31,Juventus,Spezia,1.28,5.75,12.0,1.3,5.5,10.0
2022-08-31,Napoli,Lecce,1.25,6.25,11.0,1.3,5.25,11.0
2022-09-01,Atalanta,Torino,1.72,3.75,5.25,1.85,3.6,4.2
2022-09-01,Bologna,Salernitana,1.85,3.6,4.33,2.15,3.25,3.5
2022-09-03,Fiorentina,Juventus,3.0,3.25,2.4,3.0,3.1,2.5
2022-09-03,Milan,Inter,2.8,3.25,2.6,2.7,3.2,2.7
2022-09-03,Lazio,Napoli,2.9,3.5,2.37,2.62,3.5,2.55
2022-09-04,Cremonese,Sassuolo,3.0,3.5,2.25,2.62,3.5,2.6
2022-09-04,Spezia,Bologna,3.0,3.3,2.37,3.1,3.25,2.3
2022-09-04,Verona,Sampdoria,2.05,3.6,3.6,2.2,3.4,3.25
2022-09-04,Udinese,Roma,4.2,3.75,1.85,3.75,3.3,2.05
2022-09-05,Monza,Atalanta,5.75,4.2,1.57,4.0,3.8,1.8
2022-09-05,Salernitana,Empoli,2.25,3.4,3.2,2.3,3.4,3.0
2022-09-05,Torino,Lecce,1.7,3.75,5.25,1.65,3.6,5.75
2022-09-10,Napoli,Spezia,1.25,6.0,11.0,1.28,6.0,9.0
2022-09-10,Inter,Torino,1.45,4.75,7.0,1.55,4.33,5.5
2022-09-10,Sampdoria,Milan,6.0,4.5,1.5,7.0,4.33,1.45
2022-09-11,Atalanta,Cremonese,1.3,5.5,9.5,1.36,5.25,8.0
2022-09-11,Bologna,Fiorentina,2.9,3.4,2.45,3.25,3.4,2.2
2022-09-11,Lecce,Monza,2.25,3.4,3.2,2.37,3.25,3.0
2022-09-11,Sassuolo,Udinese,2.7,3.5,2.55,2.62,3.5,2.6
2022-09-11,Lazio,Verona,1.57,4.2,5.5,1.61,4.2,5.0
2022-09-11,Juventus,Salernitana,1.4,4.5,8.5,1.55,3.8,6.5
2022-09-12,Empoli,Roma,5.0,3.8,1.7,5.0,3.75,1.7
2022-09-16,Salernitana,Lecce,2.25,3.3,3.3,2.25,3.4,3.25
2022-09-17,Bologna,Empoli,2.1,3.5,3.4,2.1,3.6,3.4
2022-09-17,Spezia,Sampdoria,2.7,3.25,2.7,2.55,3.4,2.75
2022-09-17,Torino,Sassuolo,1.8,3.75,4.5,1.8,3.6,4.5
2022-09-18,Udinese,Inter,3.8,3.6,1.95,3.8,3.6,1.95
2022-09-18,Cremonese,Lazio,4.33,3.75,1.8,4.0,3.75,1.85
2022-09-18,Fiorentina,Verona,1.75,3.8,4.5,1.8,3.75,4.33
2022-09-18,Monza,Juventus,4.5,3.6,1.8,4.0,3.8,1.83
2022-09-18,Roma,Atalanta,2.05,3.5,3.5,2.1,3.5,3.4
2022-09-18,Milan,Napoli,2.15,3.5,3.3,2.3,3.25,3.2
2022-10-01,Napoli,Torino,1.6,4.0,5.75,1.61,3.8,6.0
2022-10-01,Inter,Roma,2.0,3.5,3.75,2.05,3.4,3.75
2022-10-01,Empoli,Milan,5.5,4.0,1.6,5.75,4.2,1.55
2022-10-02,Lazio,Spezia,1.4,5.0,7.5,1.4,5.0,6.5
2022-10-02,Lecce,Cremonese,2.05,3.4,3.75,2.05,3.4,3.75
2022-10-02,Sampdoria,Monza,2.25,3.4,3.2,2.45,3.2,3.0
2022-10-02,Sassuolo,Salernitana,2.0,3.75,3.5,2.1,3.6,3.4
2022-10-02,Atalanta,Fiorentina,1.95,3.5,4.0,2.05,3.5,3.5
2022-10-02,Juventus,Bologna,1.5,4.33,6.5,1.45,4.2,7.0
2022-10-03,Verona,Udinese,3.25,3.4,2.2,3.4,3.4,2.15
2022-10-08,Sassuolo,Inter,4.33,4.2,1.7,4.33,4.0,1.75
2022-10-08,Milan,Juventus,2.05,3.4,3.6,2.15,3.3,3.5
2022-10-08,Bologna,Sampdoria,2.05,3.5,3.6,2.05,3.3,3.8
2022-10-09,Torino,Empoli,1.72,3.6,5.0,1.61,4.0,5.5
2022-10-09,Monza,Spezia,1.9,3.6,4.0,1.95,3.4,4.0
2022-10-09,Salernitana,Verona,2.4,3.4,2.87,2.4,3.3,2.9
2022-10-09,Udinese,Atalanta,2.5,3.4,2.75,2.37,3.5,2.8
2022-10-09,Cremonese,Napoli,7.0,4.5,1.45,6.5,4.5,1.5
2022-10-09,Roma,Lecce,1.33,5.25,8.5,1.5,4.5,6.5
2022-10-10,Fiorentina,Lazio,2.4,3.5,2.8,2.3,3.5,3.0
2022-10-15,Empoli,Monza,2.55,3.3,2.8,2.7,3.3,2.62
2022-10-15,Torino,Juventus,3.0,3.1,2.5,3.0,3.0,2.6
2022-10-15,Atalanta,Sassuolo,1.65,4.0,5.0,1.61,4.0,5.25
2022-10-16,Inter,Salernitana,1.3,5.75,9.0,1.28,5.75,9.5
2022-10-16,Lazio,Udinese,2.2,3.5,3.25,2.3,3.6,3.0
2022-10-16,Spezia,Cremonese,2.45,3.2,3.1,2.45,3.1,3.0
2022-10-16,Napoli,Bologna,1.25,6.0,11.0,1.25,6.0,11.0
2022-10-16,Verona,Milan,6.0,4.0,1.57,6.5,4.2,1.5
2022-10-17,Sampdoria,Roma,4.75,3.75,1.72,5.5,3.8,1.65
2022-10-17,Lecce,Fiorentina,3.75,3.4,2.05,3.6,3.3,2.1
2022-10-21,Juventus,Empoli,1.4,5.0,7.0,1.36,5.25,7.5
2022-10-22,Salernitana,Spezia,2.0,3.5,3.8,2.15,3.4,3.5
2022-10-22,Milan,Monza,1.4,5.0,7.5,1.45,4.5,6.5
2022-10-22,Fiorentina,Inter,3.6,3.5,2.05,3.2,3.4,2.2
2022-10-23,Udinese,Torino,2.0,3.3,4.0,1.95,3.4,4.0
2022-10-23,Bologna,Lecce,2.15,3.2,3.75,2.1,3.25,3.75
2022-10-23,Atalanta,Lazio,1.95,3.5,4.0,2.0,3.6,3.5
2022-10-23,Roma,Napoli,2.87,3.5,2.4,3.1,3.5,2.25
2022-10-24,Cremonese,Sampdoria,2.4,3.3,3.0,2.15,3.3,3.4
2022-10-24,Sassuolo,Verona,1.95,3.5,4.0,2.2,3.6,3.1
2022-10-29,Napoli,Sassuolo,1.28,6.0,8.5,1.28,5.75,9.0
2022-10-29,Lecce,Juventus,4.33,3.3,1.9,3.75,3.2,2.1
2022-10-29,Inter,Sampdoria,1.25,6.0,12.0,1.2,7.0,15.0
2022-10-30,Empoli,Atalanta,4.33,3.8,1.8,4.75,3.8,1.7
2022-10-30,Cremonese,Udinese,4.0,3.8,1.85,3.75,3.75,1.9
2022-10-30,Spezia,Fiorentina,4.0,3.6,1.9,4.0,3.6,1.9
2022-10-30,Lazio,Salernitana,1.5,4.5,6.5,1.5,4.33,6.5
2022-10-30,Torino,Milan,3.75,3.3,2.1,3.8,3.25,2.1
2022-10-31,Verona,Roma,4.33,3.6,1.83,4.33,3.5,1.83
2022-10-31,Monza,Bologna,2.2,3.3,3.4,2.3,3.2,3.2
2022-11-04,Udinese,Lecce,1.61,3.9,5.5,1.65,3.8,5.25
2022-11-05,Empoli,Sassuolo,2.8,3.4,2.45,3.2,3.4,2.2
2022-11-05,Salernitana,Cremonese,2.15,3.6,3.3,2.2,3.5,3.2
2022-11-05,Atalanta,Napoli,3.3,3.6,2.15,3.3,3.6,2.15
2022-11-05,Milan,Spezia,1.22,6.0,13.0,1.2,6.5,15.0
2022-11-06,Bologna,Torino,3.0,3.1,2.5,3.0,3.1,2.45
2022-11-06,Monza,Verona,2.2,3.4,3.3,2.15,3.4,3.3
2022-11-06,Sampdoria,Fiorentina,4.2,3.4,1.9,4.33,3.4,1.85
2022-11-06,Roma,Lazio,2.0,3.5,3.8,2.15,3.3,3.5
2022-11-06,Juventus,Inter,3.1,3.4,2.37,3.0,3.25,2.4
2022-11-08,Napoli,Empoli,1.25,6.5,9.5,1.28,6.0,9.0
2022-11-08,Spezia,Udinese,4.0,3.5,1.9,3.8,3.5,2.0
2022-11-08,Cremonese,Milan,6.0,4.2,1.55,6.5,4.0,1.57
2022-11-09,Lecce,Atalanta,4.75,3.5,1.8,3.3,3.1,2.3
2022-11-09,Sassuolo,Roma,3.4,3.6,2.1,3.25,3.6,2.15
2022-11-09,Fiorentina,Salernitana,1.53,4.2,6.25,1.53,4.2,6.0
2022-11-09,Inter,Bologna,1.28,5.75,10.0,1.4,5.0,6.5
2022-11-09,Torino,Sampdoria,1.61,3.8,5.75,1.65,3.5,6.0
2022-11-10,Verona,Juventus,5.0,3.8,1.66,6.0,4.0,1.57
2022-11-10,Lazio,Monza,1.61,4.2,5.0,1.66,3.75,5.0
2022-11-11,Empoli,Cremonese,2.5,3.4,2.8,2.55,3.25,2.87
2022-11-12,Napoli,Udinese,1.5,4.75,5.75,1.5,4.75,5.75
2022-11-12,Sampdoria,Lecce,2.62,3.0,3.0,3.0,2.75,2.75
2022-11-12,Bologna,Sassuolo,2.3,3.5,3.0,2.25,3.4,3.2
2022-11-13,Atalanta,Inter,3.1,3.75,2.2,2.87,3.6,2.37
2022-11-13,Monza,Salernitana,2.15,3.25,3.6,1.95,3.4,4.0
2022-11-13,Roma,Torino,1.9,3.4,4.33,1.8,3.4,4.75
2022-11-13,Verona,Spezia,2.1,3.4,3.6,2.0,3.6,3.75
2022-11-13,Milan,Fiorentina,1.7,3.8,5.0,1.65,4.0,5.0
2022-11-13,Juventus,Lazio,1.95,3.5,4.0,1.83,3.3,4.5
2023-01-04,Salernitana,Milan,7.0,4.33,1.45,8.5,5.0,1.36
2023-01-04,Sassuolo,Sampdoria,1.73,3.75,4.75,1.7,3.8,5.0
2023-01-04,Spezia,Atalanta,4.75,3.8,1.67,4.75,3.75,1.73
2023-01-04,Torino,Verona,1.83,3.4,4.5,1.65,3.8,5.5
2023-01-04,Lecce,Lazio,3.6,3.3,2.05,3.75,3.2,2.1
2023-01-04,Roma,Bologna,1.6,3.8,5.5,1.67,3.6,5.25
2023-01-04,Cremonese,Juventus,4.75,3.8,1.67,4.75,3.4,1.8
2023-01-04,Fiorentina,Monza,1.7,3.8,4.75,1.83,3.6,4.33
2023-01-04,Inter,Napoli,2.25,3.4,3.1,2.38,3.4,3.0
2023-01-04,Udinese,Empoli,1.6,4.2,5.75,1.7,4.0,4.75
2023-01-07,Fiorentina,Sassuolo,1.7,3.8,5.0,1.8,4.0,4.33
2023-01-07,Juventus,Udinese,1.75,3.8,4.5,1.7,3.7,5.0
2023-01-07,Monza,Inter,5.75,4.33,1.55,6.0,4.2,1.55
2023-01-08,Salernitana,Torino,3.7,3.2,2.15,3.75,3.2,2.1
2023-01-08,Lazio,Empoli,1.53,4.2,6.0,1.5,4.2,6.5
2023-01-08,Spezia,Lecce,2.6,3.1,2.9,2.38,3.1,3.3
2023-01-08,Sampdoria,Napoli,8.0,4.75,1.4,7.5,4.33,1.44
2023-01-08,Milan,Roma,1.83,3.6,4.33,1.85,3.6,4.2
2023-01-09,Verona,Cremonese,2.05,3.3,3.8,2.2,3.2,3.5
2023-01-09,Bologna,Atalanta,3.4,3.4,2.15,3.4,3.3,2.2
2023-01-13,Napoli,Juventus,1.91,3.5,4.0,1.95,3.4,3.8
2023-01-14,Cremonese,Monza,2.8,3.3,2.55,2.75,3.1,2.7
2023-01-14,Lecce,Milan,5.75,3.8,1.62,5.25,3.6,1.7
2023-01-14,Inter,Verona,1.3,5.5,9.5,1.33,5.0,8.5
2023-01-15,Sassuolo,Lazio,3.2,3.5,2.2,3.75,3.75,1.95
2023-01-15,Torino,Spezia,1.62,3.8,5.5,1.7,3.5,5.0
2023-01-15,Udinese,Bologna,1.91,3.4,4.2,1.85,3.3,4.33
2023-01-15,Atalanta,Salernitana,1.4,5.0,7.0,1.3,5.25,10.0
2023-01-15,Roma,Fiorentina,1.95,3.5,4.0,2.1,3.3,3.6
2023-01-16,Empoli,Sampdoria,2.2,3.2,3.5,2.05,3.2,3.8
2023-01-21,Verona,Lecce,2.38,3.1,3.2,2.2,3.0,3.75
2023-01-21,Salernitana,Napoli,9.5,5.75,1.29,9.0,5.5,1.3
2023-01-21,Fiorentina,Torino,2.1,3.3,3.6,1.83,3.4,4.5
2023-01-22,Sampdoria,Udinese,3.6,3.25,2.15,3.2,3.25,2.25
2023-01-22,Monza,Sassuolo,2.2,3.4,3.3,2.15,3.4,3.4
2023-01-22,Spezia,Roma,4.75,3.5,1.83,5.5,3.4,1.73
2023-01-22,Juventus,Atalanta,2.1,3.4,3.5,2.1,3.3,3.5
2023-01-23,Bologna,Cremonese,1.91,3.4,4.33,1.75,3.3,5.25
2023-01-23,Inter,Empoli,1.29,6.0,9.5,1.29,5.75,10.0
